director,link,director_url,location,gender
Jean-Marie Straub,https://www.imdb.com/search/name/?name=Jean-Marie%20Straub,/name/nm0833708/?ref_=sr_t_1,"Metz, Moselle, Lorraine, France",Male
Jean-Marie Téno,https://www.imdb.com/search/name/?name=Jean-Marie%20Téno,/name/nm0879403/?ref_=sr_t_1,"Famleng, Cameroon",Male
Jean-Pierre Dardenne,https://www.imdb.com/search/name/?name=Jean-Pierre%20Dardenne,/name/nm0201094/?ref_=sr_t_1,"Engis, Wallonia, Belgium",Unknown
Jean-Pierre Jeunet,https://www.imdb.com/search/name/?name=Jean-Pierre%20Jeunet,/name/nm0000466/?ref_=sr_t_1,"Roanne, Loire, Rhône-Alpes, France",Unknown
Jeff Nichols,https://www.imdb.com/search/name/?name=Jeff%20Nichols,/name/nm2158772/?ref_=sr_t_1,"Little Rock, Arkansas, USA",Male
Jeff Tremaine,https://www.imdb.com/search/name/?name=Jeff%20Tremaine,/name/nm0871860/?ref_=sr_t_1,"Durham, North Carolina, USA",Male
Jennifer Kent,https://www.imdb.com/search/name/?name=Jennifer%20Kent,/name/nm0448768/?ref_=sr_t_1,"Brisbane, Queensland, Australia",Female
Jennifer Lee,https://www.imdb.com/search/name/?name=Jennifer%20Lee,/name/nm1601644/?ref_=sr_t_1,"Barrington, Rhode Island, USA",Female
Jessica Hausner,https://www.imdb.com/search/name/?name=Jessica%20Hausner,/name/nm0369618/?ref_=sr_t_1,"Vienna, Austria",Female
Jia Zhangke,https://www.imdb.com/search/name/?name=Jia%20Zhangke,https://slyb.app.link/vtz1COZnXAb,,Unknown
Jiang Wen,https://www.imdb.com/search/name/?name=Jiang%20Wen,/name/nm0422638/?ref_=sr_t_1,"Tangshan, China",Male
Jihan El-Tahri,https://www.imdb.com/search/name/?name=Jihan%20El-Tahri,/name/nm1911613/?ref_=sr_t_1,,Unknown
Jim Jarmusch,https://www.imdb.com/search/name/?name=Jim%20Jarmusch,/name/nm0000464/?ref_=sr_t_1,"Akron, Ohio, USA",Male
Joanna Hogg,https://www.imdb.com/search/name/?name=Joanna%20Hogg,/name/nm0389712/?ref_=sr_t_1,"London, England, UK",Female
Joe Cornish,https://www.imdb.com/search/name/?name=Joe%20Cornish,/name/nm0180428/?ref_=sr_t_1,"London, England, UK",Male
Joe Russo,https://www.imdb.com/search/name/?name=Joe%20Russo,/name/nm0751648/?ref_=sr_t_1,"Cleveland, Ohio, USA",Unknown
Joel Coen,https://www.imdb.com/search/name/?name=Joel%20Coen,/name/nm0001054/?ref_=sr_t_1,"Minneapolis, Minnesota, USA",Unknown
John Akomfrah,https://www.imdb.com/search/name/?name=John%20Akomfrah,/name/nm0015497/?ref_=sr_t_1,"Accra, Ghana",Male
John Cameron Mitchell,https://www.imdb.com/search/name/?name=John%20Cameron%20Mitchell,/name/nm0593463/?ref_=sr_t_1,"El Paso, Texas, USA",Male
John Carney,https://www.imdb.com/search/name/?name=John%20Carney,/name/nm0138809/?ref_=sr_t_1,,Male
John Crowley,https://www.imdb.com/search/name/?name=John%20Crowley,/name/nm1259871/?ref_=sr_t_1,"Cork, Ireland",Male
John Gianvito,https://www.imdb.com/search/name/?name=John%20Gianvito,/name/nm1072936/?ref_=sr_t_1,,Unknown
Johnnie To,https://www.imdb.com/search/name/?name=Johnnie%20To,/name/nm0864775/?ref_=sr_t_1,Hong Kong,Unknown
Jonas Mekas,https://www.imdb.com/search/name/?name=Jonas%20Mekas,/name/nm0577263/?ref_=sr_t_1,"Semeniskiai, Lithuania",Male
Jonathan Glazer,https://www.imdb.com/search/name/?name=Jonathan%20Glazer,/name/nm0322242/?ref_=sr_t_1,"London, England, UK",Male
Joseph Cedar,https://www.imdb.com/search/name/?name=Joseph%20Cedar,/name/nm0147737/?ref_=sr_t_1,"New York City, New York, USA",Male
Joseph Kahn,https://www.imdb.com/search/name/?name=Joseph%20Kahn,/name/nm0994538/?ref_=sr_t_1,,Male
Josephine Decker,https://www.imdb.com/search/name/?name=Josephine%20Decker,/name/nm2528451/?ref_=sr_t_1,"Hammersmith, London, England, UK",Female
Josh Safdie,https://www.imdb.com/search/name/?name=Josh%20Safdie,/name/nm1343394/?ref_=sr_t_1,"New York City, New York, USA",Male
Joshua Oppenheimer,https://www.imdb.com/search/name/?name=Joshua%20Oppenheimer,/name/nm1484791/?ref_=sr_t_1,"Texas, USA",Male
Joss Whedon,https://www.imdb.com/search/name/?name=Joss%20Whedon,/name/nm0923736/?ref_=sr_t_1,"New York City, New York, USA",Unknown
João Pedro Rodrigues,https://www.imdb.com/search/name/?name=João%20Pedro%20Rodrigues,/name/nm0735134/?ref_=sr_t_1,"Lisbon, Portugal",Male
Juan José Campanella,https://www.imdb.com/search/name/?name=Juan%20José%20Campanella,/name/nm0002728/?ref_=sr_t_1,"Buenos Aires, Argentina",Male
Judy Kibinge,https://www.imdb.com/search/name/?name=Judy%20Kibinge,/name/nm1834196/?ref_=sr_t_1,,Unknown
Julian Schnabel,https://www.imdb.com/search/name/?name=Julian%20Schnabel,/name/nm0773603/?ref_=sr_t_1,"Brooklyn, New York, USA",Male
Jørgen Leth,https://www.imdb.com/search/name/?name=Jørgen%20Leth,/name/nm0504654/?ref_=sr_t_1,"Århus, Denmark",Male
K. Rajagopal,https://www.imdb.com/search/name/?name=K.%20Rajagopal,/name/nm1474851/?ref_=sr_t_1,,Unknown
Karim Aïnouz,https://www.imdb.com/search/name/?name=Karim%20Aïnouz,/name/nm0014694/?ref_=sr_t_1,"Fortaleza, Ceará, Brazil",Male
Kathryn Bigelow,https://www.imdb.com/search/name/?name=Kathryn%20Bigelow,/name/nm0000941/?ref_=sr_t_1,"San Carlos, California, USA",Female
Kelly Reichardt,https://www.imdb.com/search/name/?name=Kelly%20Reichardt,/name/nm0716980/?ref_=sr_t_1,"Miami-Dade County, Florida, USA",Female
Kelvin Tong,https://www.imdb.com/search/name/?name=Kelvin%20Tong,/name/nm0867210/?ref_=sr_t_1,,Male
Ken Jacobs,https://www.imdb.com/search/name/?name=Ken%20Jacobs,/name/nm0414499/?ref_=sr_t_1,"Williamsburg, Brooklyn, New York City, New York, USA",Male
Ken Loach,https://www.imdb.com/search/name/?name=Ken%20Loach,/name/nm0516360/?ref_=sr_t_1,"Nuneaton, Warwickshire, England, UK",Male
Kenneth Lonergan,https://www.imdb.com/search/name/?name=Kenneth%20Lonergan,/name/nm0518836/?ref_=sr_t_1,"New York City, New York, USA",Unknown
Kevin Costner,https://www.imdb.com/search/name/?name=Kevin%20Costner,/name/nm0000126/?ref_=sr_t_1,"Lynwood, California, USA",Unknown
Khalo Matabane,https://www.imdb.com/search/name/?name=Khalo%20Matabane,/name/nm1988834/?ref_=sr_t_1,,Unknown
Kim Jee-woon,https://www.imdb.com/search/name/?name=Kim%20Jee-woon,/name/nm0453518/?ref_=sr_t_1,"Seoul, South Korea",Male
Kim Ki-duk,https://www.imdb.com/search/name/?name=Kim%20Ki-duk,/name/nm1104118/?ref_=sr_t_1,"Bonghwa, South Korea",Male
Kinji Fukasaku,https://www.imdb.com/search/name/?name=Kinji%20Fukasaku,/name/nm0297935/?ref_=sr_t_1,"Mito, Japan",Male
Kiyoshi Kurosawa,https://www.imdb.com/search/name/?name=Kiyoshi%20Kurosawa,/name/nm0475905/?ref_=sr_t_1,"Kobe, Japan",Male
Kleber Mendonça Filho,https://www.imdb.com/search/name/?name=Kleber%20Mendonça%20Filho,/name/nm2207625/?ref_=sr_t_1,"Recife, Pernambuco, Brazil",Male
Kátia Lund,https://www.imdb.com/search/name/?name=Kátia%20Lund,/name/nm0526199/?ref_=sr_t_1,,Female
Larry Charles,https://www.imdb.com/search/name/?name=Larry%20Charles,/name/nm0153078/?ref_=sr_t_1,"Brooklyn, New York City, New York, USA",Male
Lars von Trier,https://www.imdb.com/search/name/?name=Lars%20von%20Trier,/name/nm0001885/?ref_=sr_t_1,"Copenhagen, Denmark",Unknown
Laurent Cantet,https://www.imdb.com/search/name/?name=Laurent%20Cantet,/name/nm0134559/?ref_=sr_t_1,"Melle, Deux-Sèvres, France",Male
Laurie Anderson,https://www.imdb.com/search/name/?name=Laurie%20Anderson,/name/nm0002173/?ref_=sr_t_1,"Glen Ellyn, Illinois, USA",Unknown
Lav Diaz,https://www.imdb.com/search/name/?name=Lav%20Diaz,/name/nm0225010/?ref_=sr_t_1,"Datu Paglas, Maguindanao, Mindanao, Philippines",Male
Lee Chang-dong,https://www.imdb.com/search/name/?name=Lee%20Chang-dong,/name/nm0496969/?ref_=sr_t_1,"Daegu, South Korea",Male
Lee Unkrich,https://www.imdb.com/search/name/?name=Lee%20Unkrich,/name/nm0881279/?ref_=sr_t_1,"Cleveland, Ohio, USA",Male
Leos Carax,https://www.imdb.com/search/name/?name=Leos%20Carax,/name/nm0136021/?ref_=sr_t_1,"Suresnes, Seine [now Hauts-de-Seine], France",Unknown
Lewis Klahr,https://www.imdb.com/search/name/?name=Lewis%20Klahr,/name/nm0458185/?ref_=sr_t_1,,Unknown
Luc Dardenne,https://www.imdb.com/search/name/?name=Luc%20Dardenne,/name/nm0201095/?ref_=sr_t_1,"Awirs, Wallonia, Belgium",Male
Luca Guadagnino,https://www.imdb.com/search/name/?name=Luca%20Guadagnino,/name/nm0345174/?ref_=sr_t_1,"Palermo, Sicily, Italy",Male
Lucien Castaing-Taylor,https://www.imdb.com/search/name/?name=Lucien%20Castaing-Taylor,/name/nm3626583/?ref_=sr_t_1,,Unknown
Lucrecia Martel,https://www.imdb.com/search/name/?name=Lucrecia%20Martel,/name/nm0551506/?ref_=sr_t_1,"Salta, Argentina",Female
Luigi M. Faccini,https://www.imdb.com/search/name/?name=Luigi%20M.%20Faccini,https://slyb.app.link/vtz1COZnXAb,,Unknown
Lukas Moodysson,https://www.imdb.com/search/name/?name=Lukas%20Moodysson,/name/nm0600546/?ref_=sr_t_1,"Malmö, Skåne län, Sweden",Male
Luke Fowler,https://www.imdb.com/search/name/?name=Luke%20Fowler,/name/nm4917815/?ref_=sr_t_1,,Unknown
Lynne Ramsay,https://www.imdb.com/search/name/?name=Lynne%20Ramsay,/name/nm0708903/?ref_=sr_t_1,"Glasgow, Strathclyde, Scotland, UK",Female
László Nemes,https://www.imdb.com/search/name/?name=László%20Nemes,/name/nm1841577/?ref_=sr_t_1,"Budapest, Hungary",Male
Mahamat-Saleh Haroun,https://www.imdb.com/search/name/?name=Mahamat-Saleh%20Haroun,/name/nm0757958/?ref_=sr_t_1,,Male
Mani Haghighi,https://www.imdb.com/search/name/?name=Mani%20Haghighi,/name/nm2155679/?ref_=sr_t_1,"Tehran, Iran",Male
Manoel de Oliveira,https://www.imdb.com/search/name/?name=Manoel%20de%20Oliveira,/name/nm0210701/?ref_=sr_t_1,"Oporto, Portugal",Male
Marcelo Gomes,https://www.imdb.com/search/name/?name=Marcelo%20Gomes,/name/nm1103123/?ref_=sr_t_1,"Recife, Pernambuco, Brazil",Male
Marco Bellocchio,https://www.imdb.com/search/name/?name=Marco%20Bellocchio,/name/nm0069166/?ref_=sr_t_1,"Piacenza, Emilia-Romagna, Italy",Male
Marco De Angelis,https://www.imdb.com/search/name/?name=Marco%20De%20Angelis,/name/nm3042162/?ref_=sr_t_1,,Unknown
Maren Ade,https://www.imdb.com/search/name/?name=Maren%20Ade,/name/nm0011752/?ref_=sr_t_1,"Karlsruhe, Baden-Württemberg, Germany",Female
Mariano Llinás,https://www.imdb.com/search/name/?name=Mariano%20Llinás,/name/nm1183471/?ref_=sr_t_1,,Male
Marjane Satrapi,https://www.imdb.com/search/name/?name=Marjane%20Satrapi,/name/nm2277869/?ref_=sr_t_1,"Rasht, Iran",Female
Mark Neveldine,https://www.imdb.com/search/name/?name=Mark%20Neveldine,/name/nm0004410/?ref_=sr_t_1,,Male
Martin Campbell,https://www.imdb.com/search/name/?name=Martin%20Campbell,/name/nm0132709/?ref_=sr_t_1,"Hastings, New Zealand",Male
Martin Scorsese,https://www.imdb.com/search/name/?name=Martin%20Scorsese,/name/nm0000217/?ref_=sr_t_1,"Queens, New York City, New York, USA",Unknown
Mary Harron,https://www.imdb.com/search/name/?name=Mary%20Harron,/name/nm0366004/?ref_=sr_t_1,"Bracebridge, Ontario, Canada",Female
Mel Gibson,https://www.imdb.com/search/name/?name=Mel%20Gibson,/name/nm0000154/?ref_=sr_t_1,"Peekskill, New York, USA",Unknown
Mia Hansen-Løve,https://www.imdb.com/search/name/?name=Mia%20Hansen-Løve,/name/nm0361135/?ref_=sr_t_1,"Paris, France",Female
Michael Bay,https://www.imdb.com/search/name/?name=Michael%20Bay,/name/nm0000881/?ref_=sr_t_1,"Los Angeles, California, USA",Male
Michael Haneke,https://www.imdb.com/search/name/?name=Michael%20Haneke,/name/nm0359734/?ref_=sr_t_1,"Munich, Bavaria, Germany",Male
Michael Mann,https://www.imdb.com/search/name/?name=Michael%20Mann,/name/nm0000520/?ref_=sr_t_1,"Chicago, Illinois, USA",Male
Michael Moore,https://www.imdb.com/search/name/?name=Michael%20Moore,/name/nm0601619/?ref_=sr_t_1,"Flint, Michigan, USA",Male
Michael Winterbottom,https://www.imdb.com/search/name/?name=Michael%20Winterbottom,/name/nm0935863/?ref_=sr_t_1,"Blackburn, Lancashire, England, UK",Male
Michel Gondry,https://www.imdb.com/search/name/?name=Michel%20Gondry,/name/nm0327273/?ref_=sr_t_1,"Versailles, Seine-et-Oise [now Yvelines], France",Male
Michel Hazanavicius,https://www.imdb.com/search/name/?name=Michel%20Hazanavicius,/name/nm0371890/?ref_=sr_t_1,"Paris, France",Male
Michelangelo Antonioni,https://www.imdb.com/search/name/?name=Michelangelo%20Antonioni,/name/nm0000774/?ref_=sr_t_1,"Ferrara, Emilia-Romagna, Italy",Male
Michelangelo Frammartino,https://www.imdb.com/search/name/?name=Michelangelo%20Frammartino,/name/nm1506005/?ref_=sr_t_1,,Male
Miguel Arteta,https://www.imdb.com/search/name/?name=Miguel%20Arteta,/name/nm0037708/?ref_=sr_t_1,,Male
Miguel Gomes,https://www.imdb.com/search/name/?name=Miguel%20Gomes,/name/nm0326937/?ref_=sr_t_1,"Lisbon, Portugal",Male
Mike Judge,https://www.imdb.com/search/name/?name=Mike%20Judge,/name/nm0431918/?ref_=sr_t_1,"Guayaquil, Ecuador",Male
Mike Leigh,https://www.imdb.com/search/name/?name=Mike%20Leigh,/name/nm0005139/?ref_=sr_t_1,"Salford, Greater Manchester, England, UK",Male
Mike Mills,https://www.imdb.com/search/name/?name=Mike%20Mills,/name/nm0590122/?ref_=sr_t_1,,Male
Mira Nair,https://www.imdb.com/search/name/?name=Mira%20Nair,/name/nm0619762/?ref_=sr_t_1,"Bhubaneshwar, Orissa, India",Female
Miranda July,https://www.imdb.com/search/name/?name=Miranda%20July,/name/nm0432380/?ref_=sr_t_1,"Barre, Vermont, USA",Unknown
Mohamed Diab,https://www.imdb.com/search/name/?name=Mohamed%20Diab,/name/nm2559996/?ref_=sr_t_1,"Ismailia, Egypt",Male
Mohamed Soueid,https://www.imdb.com/search/name/?name=Mohamed%20Soueid,/name/nm12496991/?ref_=sr_t_1,,Unknown
Mohammad Rasoulof,https://www.imdb.com/search/name/?name=Mohammad%20Rasoulof,/name/nm1488024/?ref_=sr_t_1,"Shiraz, Iran",Male
Mojtaba Mirtahmasb,https://www.imdb.com/search/name/?name=Mojtaba%20Mirtahmasb,/name/nm0592554/?ref_=sr_t_1,,Unknown
Nadine Labaki,https://www.imdb.com/search/name/?name=Nadine%20Labaki,/name/nm1701024/?ref_=sr_t_1,"Beirut, Lebanon",Female
Naji Abou Nowar,https://www.imdb.com/search/name/?name=Naji%20Abou%20Nowar,https://slyb.app.link/vtz1COZnXAb,,Unknown
Nanfu Wang,https://www.imdb.com/search/name/?name=Nanfu%20Wang,/name/nm6811599/?ref_=sr_t_1,,Female
Nanni Moretti,https://www.imdb.com/search/name/?name=Nanni%20Moretti,/name/nm0604335/?ref_=sr_t_1,"Brunico, Trentino-Alto Adige, Italy",Unknown
Naomi Kawase,https://www.imdb.com/search/name/?name=Naomi%20Kawase,/name/nm0442905/?ref_=sr_t_1,"Nara, Japan",Female
Neill Blomkamp,https://www.imdb.com/search/name/?name=Neill%20Blomkamp,/name/nm0088955/?ref_=sr_t_1,"Johannesburg, South Africa",Male
Newton I. Aduaka,https://www.imdb.com/search/name/?name=Newton%20I.%20Aduaka,/name/nm0012529/?ref_=sr_t_1,,Male
Ngozi Onwurah,https://www.imdb.com/search/name/?name=Ngozi%20Onwurah,/name/nm0648937/?ref_=sr_t_1,,Female
Nick Cassavetes,https://www.imdb.com/search/name/?name=Nick%20Cassavetes,/name/nm0001024/?ref_=sr_t_1,"New York City, New York, USA",Unknown
Nicolas Winding Refn,https://www.imdb.com/search/name/?name=Nicolas%20Winding%20Refn,/name/nm0716347/?ref_=sr_t_1,"Copenhagen, Denmark",Unknown
Nikolaus Geyrhalter,https://www.imdb.com/search/name/?name=Nikolaus%20Geyrhalter,/name/nm0315430/?ref_=sr_t_1,,Male
Nina Paley,https://www.imdb.com/search/name/?name=Nina%20Paley,/name/nm1315434/?ref_=sr_t_1,"Champaign, Illinois, USA",Female
Noah Baumbach,https://www.imdb.com/search/name/?name=Noah%20Baumbach,/name/nm0000876/?ref_=sr_t_1,"Brooklyn, New York City, New York, USA",Male
Norbert Pfaffenbichler,https://www.imdb.com/search/name/?name=Norbert%20Pfaffenbichler,/name/nm1114961/?ref_=sr_t_1,,Unknown
Nouri Bouzid,https://www.imdb.com/search/name/?name=Nouri%20Bouzid,/name/nm0100525/?ref_=sr_t_1,"Sfax, Tunisia",Male
Nuri Bilge Ceylan,https://www.imdb.com/search/name/?name=Nuri%20Bilge%20Ceylan,/name/nm0149196/?ref_=sr_t_1,"Istanbul, Turkey",Male
Oliver Schmitz,https://www.imdb.com/search/name/?name=Oliver%20Schmitz,/name/nm0005628/?ref_=sr_t_1,"Cape Town, South Africa",Male
Olivier Assayas,https://www.imdb.com/search/name/?name=Olivier%20Assayas,/name/nm0000801/?ref_=sr_t_1,"Paris, France",Male
Ossama Mohammed,https://www.imdb.com/search/name/?name=Ossama%20Mohammed,/name/nm0611256/?ref_=sr_t_1,"Lattakia, Syria",Male
Ousmane Sembène,https://www.imdb.com/search/name/?name=Ousmane%20Sembène,/name/nm0783733/?ref_=sr_t_1,"Ziguenchor, Casamance, Senegal",Male
Pablo Berger,https://www.imdb.com/search/name/?name=Pablo%20Berger,/name/nm0074311/?ref_=sr_t_1,,Male
Pablo Larraín,https://www.imdb.com/search/name/?name=Pablo%20Larraín,/name/nm1883257/?ref_=sr_t_1,"Santiago de Chile, Metropolitan Region, Chile",Male
Pacho Velez,https://www.imdb.com/search/name/?name=Pacho%20Velez,/name/nm1381945/?ref_=sr_t_1,,Unknown
Paolo Benvenuti,https://www.imdb.com/search/name/?name=Paolo%20Benvenuti,/name/nm2379049/?ref_=sr_t_1,,Unknown
Paolo Sorrentino,https://www.imdb.com/search/name/?name=Paolo%20Sorrentino,/name/nm0815204/?ref_=sr_t_1,"Naples, Campania, Italy",Male
Park Chan-wook,https://www.imdb.com/search/name/?name=Park%20Chan-wook,/name/nm0661791/?ref_=sr_t_1,"Seoul, South Korea",Male
Patricio Guzmán,https://www.imdb.com/search/name/?name=Patricio%20Guzmán,/name/nm0350099/?ref_=sr_t_1,"Santiago, Chile",Male
Patrick Wang,https://www.imdb.com/search/name/?name=Patrick%20Wang,/name/nm1169526/?ref_=sr_t_1,,Unknown
Patty Jenkins,https://www.imdb.com/search/name/?name=Patty%20Jenkins,/name/nm0420941/?ref_=sr_t_1,"George Air Force Base, Victorville, California, USA",Female
Paul Feig,https://www.imdb.com/search/name/?name=Paul%20Feig,/name/nm0082450/?ref_=sr_t_1,"Mount Clemens, Michigan, USA",Male
Paul Greengrass,https://www.imdb.com/search/name/?name=Paul%20Greengrass,/name/nm0339030/?ref_=sr_t_1,"Cheam, Surrey, England, UK",Male
Paul Thomas Anderson,https://www.imdb.com/search/name/?name=Paul%20Thomas%20Anderson,/name/nm0000759/?ref_=sr_t_1,"Studio City, California, USA",Male
Paweł Pawlikowski,https://www.imdb.com/search/name/?name=Paweł%20Pawlikowski,/name/nm0667734/?ref_=sr_t_1,"Warsaw, Mazowieckie, Poland",Unknown
Pedro Almodóvar,https://www.imdb.com/search/name/?name=Pedro%20Almodóvar,/name/nm0000264/?ref_=sr_t_1,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",Unknown
Pedro Costa,https://www.imdb.com/search/name/?name=Pedro%20Costa,/name/nm0182276/?ref_=sr_t_1,"Lisbon, Portugal",Male
Pete Docter,https://www.imdb.com/search/name/?name=Pete%20Docter,/name/nm0230032/?ref_=sr_t_1,"Bloomington, Minnesota, USA",Male
Peter Jackson,https://www.imdb.com/search/name/?name=Peter%20Jackson,/name/nm0001392/?ref_=sr_t_1,"Pukerua Bay, North Island, New Zealand",Male
Peter Mullan,https://www.imdb.com/search/name/?name=Peter%20Mullan,/name/nm0611932/?ref_=sr_t_1,"Peterhead, Scotland, UK",Male
Peter Tscherkassky,https://www.imdb.com/search/name/?name=Peter%20Tscherkassky,/name/nm0874787/?ref_=sr_t_1,"Vienna, Austria",Unknown
Peter Watkins,https://www.imdb.com/search/name/?name=Peter%20Watkins,/name/nm0914386/?ref_=sr_t_1,"Norbiton, Surrey, England, UK",Male
Peter Weir,https://www.imdb.com/search/name/?name=Peter%20Weir,/name/nm0001837/?ref_=sr_t_1,"Sydney, New South Wales, Australia",Male
Phil Solomon,https://www.imdb.com/search/name/?name=Phil%20Solomon,/name/nm0994047/?ref_=sr_t_1,,Unknown
Philip Gröning,https://www.imdb.com/search/name/?name=Philip%20Gröning,/name/nm0344973/?ref_=sr_t_1,"Düsseldorf, West Germany",Male
Philip Kaufman,https://www.imdb.com/search/name/?name=Philip%20Kaufman,/name/nm0442241/?ref_=sr_t_1,"Chicago, Illinois, USA",Male
Philippe Garrel,https://www.imdb.com/search/name/?name=Philippe%20Garrel,/name/nm0308042/?ref_=sr_t_1,"Paris, France",Male
Philippe Grandrieux,https://www.imdb.com/search/name/?name=Philippe%20Grandrieux,/name/nm0334930/?ref_=sr_t_1,"Saint-Étienne, Loire, Rhône-Alpes, France",Male
Pietro Marcello,https://www.imdb.com/search/name/?name=Pietro%20Marcello,/name/nm2754122/?ref_=sr_t_1,"Caserta, Campania, Italy",Male
Pippo Delbono,https://www.imdb.com/search/name/?name=Pippo%20Delbono,/name/nm2647632/?ref_=sr_t_1,,Unknown
Pirjo Honkasalo,https://www.imdb.com/search/name/?name=Pirjo%20Honkasalo,/name/nm0393345/?ref_=sr_t_1,"Helsinki, Finland",Female
Quentin Tarantino,https://www.imdb.com/search/name/?name=Quentin%20Tarantino,/name/nm0000233/?ref_=sr_t_1,"Knoxville, Tennessee, USA",Unknown
Raam Reddy,https://www.imdb.com/search/name/?name=Raam%20Reddy,/name/nm5339365/?ref_=sr_t_1,,Male
Rachid Bouchareb,https://www.imdb.com/search/name/?name=Rachid%20Bouchareb,/name/nm0098953/?ref_=sr_t_1,"Paris, France",Male
Rajat Kapoor,https://www.imdb.com/search/name/?name=Rajat%20Kapoor,/name/nm0438494/?ref_=sr_t_1,"New Delhi, India",Male
Ramin Bahrani,https://www.imdb.com/search/name/?name=Ramin%20Bahrani,/name/nm1023919/?ref_=sr_t_1,"North Carolina, USA",Male
Raoul Peck,https://www.imdb.com/search/name/?name=Raoul%20Peck,/name/nm0669704/?ref_=sr_t_1,,Male
Raoul Ruiz,https://www.imdb.com/search/name/?name=Raoul%20Ruiz,https://slyb.app.link/vtz1COZnXAb,,Unknown
Rehad Desai,https://www.imdb.com/search/name/?name=Rehad%20Desai,/name/nm2390834/?ref_=sr_t_1,,Unknown
Rian Johnson,https://www.imdb.com/search/name/?name=Rian%20Johnson,/name/nm0426059/?ref_=sr_t_1,"Silver Spring, Maryland, USA",Male
Richard Curtis,https://www.imdb.com/search/name/?name=Richard%20Curtis,/name/nm0193485/?ref_=sr_t_1,"Wellington, New Zealand",Male
Richard Kelly,https://www.imdb.com/search/name/?name=Richard%20Kelly,/name/nm0446819/?ref_=sr_t_1,"Newport News, Virginia, USA",Male
Richard Linklater,https://www.imdb.com/search/name/?name=Richard%20Linklater,/name/nm0000500/?ref_=sr_t_1,"Houston, Texas, USA",Male
Rick Alverson,https://www.imdb.com/search/name/?name=Rick%20Alverson,/name/nm3687830/?ref_=sr_t_1,"Spokane, Washington, USA",Male
Ridley Scott,https://www.imdb.com/search/name/?name=Ridley%20Scott,/name/nm0000631/?ref_=sr_t_1,"South Shields, County Durham, England, UK",Unknown
Rita Azevedo Gomes,https://www.imdb.com/search/name/?name=Rita%20Azevedo%20Gomes,/name/nm0326946/?ref_=sr_t_1,,Unknown
Rob Marshall,https://www.imdb.com/search/name/?name=Rob%20Marshall,/name/nm0551128/?ref_=sr_t_1,"Madison, Wisconsin, USA",Male
Robert Altman,https://www.imdb.com/search/name/?name=Robert%20Altman,/name/nm0000265/?ref_=sr_t_1,"Kansas City, Missouri, USA",Male
Robert Greene,https://www.imdb.com/search/name/?name=Robert%20Greene,/name/nm1914992/?ref_=sr_t_1,"Charlotte, North Carolina, USA",Male
Robert Pulcini,https://www.imdb.com/search/name/?name=Robert%20Pulcini,/name/nm0700301/?ref_=sr_t_1,"New York City, New York, USA",Male
Robert Zemeckis,https://www.imdb.com/search/name/?name=Robert%20Zemeckis,/name/nm0000709/?ref_=sr_t_1,"Chicago, Illinois, USA",Unknown
Roberto Benigni,https://www.imdb.com/search/name/?name=Roberto%20Benigni,/name/nm0000905/?ref_=sr_t_1,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",Male
Roman Polanski,https://www.imdb.com/search/name/?name=Roman%20Polanski,/name/nm0000591/?ref_=sr_t_1,"Paris, France",Male
Ronit Elkabetz,https://www.imdb.com/search/name/?name=Ronit%20Elkabetz,/name/nm0253813/?ref_=sr_t_1,"Beersheba, Israel",Female
Roy Andersson,https://www.imdb.com/search/name/?name=Roy%20Andersson,/name/nm0027815/?ref_=sr_t_1,"Gothenburg, Västra Götalands län, Sweden",Male
Royston Tan,https://www.imdb.com/search/name/?name=Royston%20Tan,/name/nm0848892/?ref_=sr_t_1,Singapore,Male
Ryan Coogler,https://www.imdb.com/search/name/?name=Ryan%20Coogler,/name/nm3363032/?ref_=sr_t_1,"Oakland, California, USA",Male
S. Craig Zahler,https://www.imdb.com/search/name/?name=S.%20Craig%20Zahler,/name/nm0951975/?ref_=sr_t_1,"Miami, Florida, USA",Male
Sam Mendes,https://www.imdb.com/search/name/?name=Sam%20Mendes,/name/nm0005222/?ref_=sr_t_1,"Reading, Berkshire, England, UK",Male
Sam Raimi,https://www.imdb.com/search/name/?name=Sam%20Raimi,/name/nm0000600/?ref_=sr_t_1,"Royal Oak, Michigan, USA",Unknown
Samba Gadjigo,https://www.imdb.com/search/name/?name=Samba%20Gadjigo,/name/nm7046188/?ref_=sr_t_1,,Unknown
Sara Fattahi,https://www.imdb.com/search/name/?name=Sara%20Fattahi,/name/nm7986571/?ref_=sr_t_1,,Unknown
Sarah Polley,https://www.imdb.com/search/name/?name=Sarah%20Polley,/name/nm0001631/?ref_=sr_t_1,"Toronto, Ontario, Canada",Unknown
Satoshi Kon,https://www.imdb.com/search/name/?name=Satoshi%20Kon,/name/nm0464804/?ref_=sr_t_1,"Sapporo, Hokkaido, Japan",Male
Scandar Copti,https://www.imdb.com/search/name/?name=Scandar%20Copti,/name/nm2738713/?ref_=sr_t_1,,Male
Sean Baker,https://www.imdb.com/search/name/?name=Sean%20Baker,/name/nm0048918/?ref_=sr_t_1,,Male
Seth Rogen,https://www.imdb.com/search/name/?name=Seth%20Rogen,/name/nm0736622/?ref_=sr_t_1,"Vancouver, British Columbia, Canada",Male
