director,link,director_url,location,gender
Apichatpong Weerasethakul,https://www.imdb.com/search/name/?name=Apichatpong%20Weerasethakul,/name/nm0917405/?ref_=sr_t_1,"Bangkok, Thailand",Male
Ari Folman,https://www.imdb.com/search/name/?name=Ari%20Folman,/name/nm0284369/?ref_=sr_t_1,"Haifa, Israel",Male
Arnaud Desplechin,https://www.imdb.com/search/name/?name=Arnaud%20Desplechin,/name/nm0221611/?ref_=sr_t_1,"Roubaix, Nord, France",Male
Asghar Farhadi,https://www.imdb.com/search/name/?name=Asghar%20Farhadi,/name/nm1410815/?ref_=sr_t_1,"Khomeyni Shahr, Isfahan, Iran",Male
Ashutosh Gowariker,https://www.imdb.com/search/name/?name=Ashutosh%20Gowariker,/name/nm0332950/?ref_=sr_t_1,"Kolhapur, Maharashtra, India",Male
Asif Kapadia,https://www.imdb.com/search/name/?name=Asif%20Kapadia,/name/nm0438090/?ref_=sr_t_1,,Male
Ava DuVernay,https://www.imdb.com/search/name/?name=Ava%20DuVernay,/name/nm1148550/?ref_=sr_t_1,"Long Beach, California, USA",Unknown
Avi Nesher,https://www.imdb.com/search/name/?name=Avi%20Nesher,/name/nm0383605/?ref_=sr_t_1,"Ramat Gan, Israel",Male
Bahman Ghobadi,https://www.imdb.com/search/name/?name=Bahman%20Ghobadi,/name/nm0315842/?ref_=sr_t_1,"Baneh, Iran",Male
Bart Layton,https://www.imdb.com/search/name/?name=Bart%20Layton,/name/nm1717925/?ref_=sr_t_1,,Male
Baz Luhrmann,https://www.imdb.com/search/name/?name=Baz%20Luhrmann,/name/nm0525303/?ref_=sr_t_1,"New South Wales, Australia",Male
Bazi Gete,https://www.imdb.com/search/name/?name=Bazi%20Gete,/name/nm6514631/?ref_=sr_t_1,,Unknown
Ben Rivers,https://www.imdb.com/search/name/?name=Ben%20Rivers,/name/nm4234237/?ref_=sr_t_1,,Male
Ben Stiller,https://www.imdb.com/search/name/?name=Ben%20Stiller,/name/nm0001774/?ref_=sr_t_1,"New York City, New York, USA",Unknown
Ben Wheatley,https://www.imdb.com/search/name/?name=Ben%20Wheatley,/name/nm1296554/?ref_=sr_t_1,,Male
Benh Zeitlin,https://www.imdb.com/search/name/?name=Benh%20Zeitlin,/name/nm1022455/?ref_=sr_t_1,"Manhattan, New York, USA",Male
Benny Safdie,https://www.imdb.com/search/name/?name=Benny%20Safdie,/name/nm1509478/?ref_=sr_t_1,"New York City, New York, USA",Male
Bong Joon-ho,https://www.imdb.com/search/name/?name=Bong%20Joon-ho,/name/nm0094435/?ref_=sr_t_1,"Daegu, South Korea",Male
Boo Junfeng,https://www.imdb.com/search/name/?name=Boo%20Junfeng,/name/nm3008853/?ref_=sr_t_1,Singapore,Male
Bouli Lanners,https://www.imdb.com/search/name/?name=Bouli%20Lanners,/name/nm0099521/?ref_=sr_t_1,"Moresnet-Chapelle, Belgium",Male
Brad Bird,https://www.imdb.com/search/name/?name=Brad%20Bird,/name/nm0083348/?ref_=sr_t_1,"Kalispell, Montana, USA",Male
Brian De Palma,https://www.imdb.com/search/name/?name=Brian%20De%20Palma,/name/nm0000361/?ref_=sr_t_1,"Newark, New Jersey, USA",Male
Brian Taylor,https://www.imdb.com/search/name/?name=Brian%20Taylor,/name/nm0962729/?ref_=sr_t_1,,Male
Béla Tarr,https://www.imdb.com/search/name/?name=Béla%20Tarr,/name/nm0850601/?ref_=sr_t_1,"Pécs, Hungary",Male
Cameron Crowe,https://www.imdb.com/search/name/?name=Cameron%20Crowe,/name/nm0001081/?ref_=sr_t_1,"Palm Springs, California, USA",Unknown
Carlos Reygadas,https://www.imdb.com/search/name/?name=Carlos%20Reygadas,/name/nm1196161/?ref_=sr_t_1,"Mexico City, Distrito Federal, Mexico",Male
Carlos Saura,https://www.imdb.com/search/name/?name=Carlos%20Saura,/name/nm0767022/?ref_=sr_t_1,"Huesca, Aragón, Spain",Male
Carol Morley,https://www.imdb.com/search/name/?name=Carol%20Morley,/name/nm1345246/?ref_=sr_t_1,"Stockport, Greater Manchester, England, UK",Female
Cary Joji Fukunaga,https://www.imdb.com/search/name/?name=Cary%20Joji%20Fukunaga,/name/nm1560977/?ref_=sr_t_1,"Oakland, California, USA",Male
Catherine Breillat,https://www.imdb.com/search/name/?name=Catherine%20Breillat,/name/nm0106924/?ref_=sr_t_1,"Bressuire, Deux-Sèvres, France",Female
Chaitanya Tamhane,https://www.imdb.com/search/name/?name=Chaitanya%20Tamhane,/name/nm4058904/?ref_=sr_t_1,"Mumbai, Maharashtra, India",Male
Chantal Akerman,https://www.imdb.com/search/name/?name=Chantal%20Akerman,/name/nm0001901/?ref_=sr_t_1,"Brussels, Belgium",Female
Charles Burnett,https://www.imdb.com/search/name/?name=Charles%20Burnett,/name/nm0122344/?ref_=sr_t_1,"Vicksburg, Mississippi, USA",Male
Charlie Kaufman,https://www.imdb.com/search/name/?name=Charlie%20Kaufman,/name/nm0442109/?ref_=sr_t_1,"New York City, New York, USA",Male
Chris Buck,https://www.imdb.com/search/name/?name=Chris%20Buck,/name/nm0118333/?ref_=sr_t_1,"Wichita, Kansas, USA",Male
Christian Marclay,https://www.imdb.com/search/name/?name=Christian%20Marclay,/name/nm3827692/?ref_=sr_t_1,,Unknown
